iter	Passed	Remaining
0	112	112834
1	126	63208
2	137	45789
3	146	36436
4	153	30515
5	158	26259
6	162	23077
7	167	20746
8	172	18974
9	176	17505
10	181	16295
11	184	15225
12	188	14309
13	191	13498
14	195	12811
15	198	12223
16	201	11663
17	204	11182
18	208	10764
19	211	10377
20	215	10031
21	218	9715
22	222	9446
23	225	9181
24	229	8950
25	233	8730
26	236	8527
27	239	8306
28	242	8123
29	245	7952
30	249	7795
31	252	7635
32	255	7498
33	259	7359
34	262	7226
35	265	7103
36	268	6987
37	271	6876
38	274	6775
39	278	6677
40	281	6593
41	285	6509
42	288	6426
43	291	6342
44	295	6272
45	299	6203
46	302	6137
47	306	6075
48	309	6010
49	312	5945
50	316	5884
51	319	5830
52	323	5772
53	326	5722
54	330	5671
55	333	5625
56	336	5571
57	339	5516
58	342	5463
59	346	5421
60	349	5376
61	352	5335
62	355	5288
63	358	5248
64	362	5211
65	365	5174
66	368	5133
67	372	5099
68	375	5061
69	378	5027
70	381	4992
71	384	4958
72	387	4924
73	390	4891
74	394	4861
75	397	4832
76	401	4807
77	404	4784
78	408	4760
79	411	4735
80	415	4709
81	418	4683
82	421	4654
83	424	4628
84	427	4605
85	431	4581
86	434	4558
87	437	4534
88	440	4511
89	443	4487
90	447	4465
91	450	4442
92	453	4423
93	456	4399
94	460	4382
95	463	4364
96	466	4346
97	470	4329
98	473	4312
99	477	4293
100	480	4277
101	483	4259
102	487	4241
103	490	4226
104	494	4211
105	497	4193
106	500	4179
107	504	4162
108	508	4152
109	511	4142
110	515	4126
111	518	4111
112	521	4095
113	524	4079
114	528	4064
115	531	4047
116	534	4037
117	538	4024
118	541	4011
119	545	3999
120	548	3987
121	551	3971
122	555	3959
123	557	3940
124	561	3930
125	565	3920
126	568	3910
127	572	3900
128	577	3901
129	581	3891
130	584	3879
131	588	3871
132	591	3858
133	595	3847
134	598	3834
135	602	3826
136	605	3814
137	609	3804
138	612	3795
139	616	3787
140	620	3778
141	623	3769
142	627	3760
143	631	3751
144	634	3742
145	638	3732
146	641	3722
147	645	3713
148	648	3706
149	652	3695
150	654	3680
151	657	3670
152	661	3661
153	664	3651
154	668	3646
155	672	3636
156	675	3628
157	679	3618
158	683	3613
159	684	3595
160	688	3588
161	691	3578
162	695	3571
163	698	3561
164	702	3554
165	705	3545
166	709	3538
167	712	3528
168	715	3520
169	718	3510
170	722	3502
171	725	3491
172	728	3484
173	732	3475
174	733	3459
175	736	3446
176	739	3437
177	741	3423
178	744	3414
179	747	3404
180	750	3397
181	754	3389
182	757	3382
183	760	3373
184	764	3367
185	767	3358
186	771	3352
187	774	3343
188	777	3335
189	780	3327
190	783	3319
191	786	3310
192	789	3303
193	793	3296
194	797	3290
195	800	3283
196	803	3277
197	807	3269
198	810	3262
199	813	3254
200	816	3246
201	819	3238
202	823	3231
203	826	3223
204	829	3217
205	832	3210
206	836	3203
207	839	3196
208	842	3189
209	845	3182
210	849	3175
211	852	3169
212	855	3161
213	859	3155
214	862	3147
215	865	3141
216	868	3133
217	871	3127
218	874	3119
219	878	3113
220	881	3106
221	884	3101
222	888	3094
223	891	3087
224	894	3081
225	898	3076
226	901	3069
227	904	3063
228	907	3056
229	911	3051
230	914	3044
231	916	3034
232	919	3027
233	922	3021
234	926	3015
235	929	3009
236	933	3004
237	936	2998
238	939	2992
239	942	2985
240	945	2978
241	948	2971
242	951	2964
243	954	2958
244	958	2953
245	961	2946
246	965	2943
247	968	2936
248	971	2930
249	974	2924
250	978	2919
251	981	2912
252	984	2907
253	987	2901
254	991	2895
255	994	2889
256	997	2883
257	1001	2879
258	1005	2875
259	1008	2870
260	1012	2866
261	1015	2861
262	1019	2855
263	1021	2846
264	1024	2841
265	1033	2851
266	1036	2846
267	1040	2841
268	1043	2835
269	1047	2830
270	1050	2825
271	1053	2820
272	1056	2814
273	1060	2810
274	1064	2805
275	1067	2800
276	1071	2796
277	1075	2791
278	1078	2786
279	1081	2780
280	1084	2774
281	1087	2768
282	1090	2761
283	1093	2757
284	1096	2751
285	1100	2746
286	1103	2741
287	1106	2736
288	1110	2730
289	1112	2723
290	1115	2717
291	1118	2712
292	1121	2706
293	1124	2700
294	1127	2694
295	1130	2689
296	1134	2685
297	1135	2675
298	1139	2670
299	1141	2664
300	1144	2657
301	1145	2648
302	1149	2643
303	1152	2637
304	1155	2632
305	1158	2626
306	1161	2622
307	1164	2616
308	1168	2612
309	1171	2607
310	1174	2602
311	1178	2598
312	1181	2593
313	1184	2588
314	1188	2584
315	1191	2578
316	1194	2574
317	1197	2568
318	1201	2564
319	1204	2559
320	1207	2554
321	1211	2549
322	1214	2545
323	1217	2540
324	1221	2536
325	1224	2532
326	1228	2527
327	1231	2522
328	1234	2517
329	1237	2512
330	1240	2507
331	1243	2502
332	1247	2498
333	1250	2493
334	1254	2489
335	1257	2484
336	1260	2480
337	1263	2474
338	1266	2470
339	1269	2465
340	1273	2460
341	1276	2456
342	1279	2451
343	1282	2446
344	1286	2442
345	1289	2437
346	1293	2433
347	1296	2429
348	1299	2424
349	1302	2419
350	1306	2415
351	1309	2411
352	1313	2408
353	1316	2403
354	1320	2399
355	1323	2394
356	1326	2388
357	1329	2383
358	1332	2378
359	1335	2373
360	1338	2368
361	1341	2364
362	1344	2359
363	1347	2355
364	1351	2350
365	1354	2346
366	1357	2341
367	1360	2337
368	1364	2333
369	1367	2328
370	1370	2323
371	1373	2319
372	1377	2315
373	1380	2310
374	1383	2306
375	1387	2302
376	1390	2297
377	1393	2292
378	1396	2288
379	1399	2283
380	1403	2279
381	1406	2275
382	1409	2271
383	1413	2266
384	1416	2262
385	1419	2257
386	1422	2253
387	1425	2248
388	1428	2243
389	1431	2239
390	1435	2235
391	1438	2230
392	1441	2226
393	1444	2222
394	1448	2218
395	1451	2213
396	1454	2209
397	1457	2205
398	1461	2200
399	1464	2196
400	1467	2191
401	1470	2187
402	1473	2182
403	1476	2178
404	1479	2173
405	1482	2168
406	1485	2164
407	1488	2160
408	1491	2155
409	1495	2151
410	1498	2147
411	1501	2143
412	1505	2139
413	1508	2134
414	1511	2130
415	1514	2126
416	1517	2121
417	1520	2117
418	1523	2113
419	1526	2108
420	1530	2104
421	1533	2100
422	1536	2096
423	1539	2091
424	1542	2087
425	1545	2082
426	1548	2078
427	1551	2074
428	1554	2069
429	1558	2065
430	1561	2061
431	1564	2057
432	1567	2052
433	1570	2048
434	1574	2044
435	1577	2040
436	1580	2035
437	1583	2031
438	1586	2027
439	1589	2023
440	1593	2019
441	1596	2015
442	1599	2011
443	1603	2007
444	1606	2003
445	1610	2000
446	1613	1995
447	1616	1991
448	1619	1987
449	1622	1982
450	1625	1978
451	1628	1974
452	1631	1970
453	1635	1966
454	1638	1962
455	1641	1958
456	1644	1953
457	1647	1949
458	1650	1945
459	1653	1940
460	1656	1937
461	1659	1932
462	1662	1928
463	1665	1924
464	1668	1919
465	1672	1916
466	1675	1911
467	1678	1907
468	1681	1903
469	1684	1899
470	1687	1895
471	1691	1891
472	1694	1887
473	1697	1883
474	1700	1879
475	1704	1875
476	1707	1871
477	1710	1868
478	1713	1864
479	1717	1860
480	1720	1856
481	1723	1852
482	1726	1848
483	1730	1844
484	1733	1840
485	1736	1836
486	1739	1832
487	1742	1828
488	1746	1825
489	1749	1820
490	1752	1817
